 1 DOS      LCER     RR       33       R1,R2
 1 DOS      LCLA     HLASM
 1 DOS      LCLB     HLASM
 1 DOS      LCLC     HLASM
 1 DOS      LCR      RR       13       R1,R2
 1 DOS      LCTL     RS       B7       R1,R3,D2(B2)
 1 DOS      LD       RX       68       R1,D2(X2,B2)
 1 DOS      LDR      RR       28       R1,R2
 1 DOS      LE       RX       78       R1,D2(X2,B2)
 1 DOS      LER      RR       38       R1,R2
 1 DOS      LH       RX       48       R1,D2(X2,B2)
 1 DOS      LM       RS       98       R1,R3,D2(B2)
 1 DOS      LNDR     RR       21       R1,R2
 1 DOS      LNER     RR       31       R1,R2
 1 DOS      LNR      RR       11       R1,R2
 1 DOS      LPDR     RR       20       R1,R2
 1 DOS      LPER     RR       30       R1,R2
 1 DOS      LPR      RR       10       R1,R2
 1 DOS      LPSW     SI       82       D1(B1)
 1 DOS      LR       RR       18       R1,R2
 1 DOS      LRA      RX       B1       R1,D2(X2,B2)
 1 DOS      LRDR     RR       25       R1,R2
 1 DOS      LRER     RR       35       R1,R2
 1 DOS      LTDR     RR       22       R1,R2
 1 DOS      LTER     RR       32       R1,R2
 1 DOS      LTORG    HLASM
 1 DOS      LTR      RR       12       R1,R2
 1 DOS      M        RX       5C       R1,D2(X2,B2)
 1 DOS      MACRO    HLASM
 1 DOS      MC       SI       AF       D1(B1),I2
 1 DOS      MD       RX       6C       R1,D2(X2,B2)
 1 DOS      MDE      RX       7C       R1,D2(X2,B2)
 1 DOS      MDER     RR       3C       R1,R2
 1 DOS      MDR      RR       2C       R1,R2
 1 DOS      ME       RX       7C       R1,D2(X2,B2)
 1 DOS      MEND     HLASM
 1 DOS      MER      RR       3C       R1,R2
 1 DOS      MEXIT    HLASM
 1 DOS      MH       RX       4C       R1,D2(X2,B2)
 1 DOS      MNOTE    HLASM
 1 DOS      MP       SS       FC       D1(L1,B1),D2(L2,B2)
 1 DOS      MR       RR       1C       R1,R2
 1 DOS      MVC      SS       D2       D1(L,B1),D2(B2)
 1 DOS      MVCIN    SS       E8       D1(L,B1),D2(B2)
 1 DOS      MVCL     RR       0E       R1,R2
 1 DOS      MVI      SI       92       D1(B1),I2
 1 DOS      MVN      SS       D1       D1(L,B1),D2(B2)
 1 DOS      MVO      SS       F1       D1(L1,B1),D2(L2,B2)
 1 DOS      MVZ      SS       D3       D1(L,B1),D2(B2)
 1 DOS      MXD      RX       67       R1,D2(X2,B2)
 1 DOS      MXDR     RR       27       R1,R2
 1 DOS      MXR      RR       26       R1,R2
 1 DOS      N        RX       54       R1,D2(X2,B2)
 1 DOS      NC       SS       D4       D1(L,B1),D2(B2)
 1 DOS      NI       SI       94       D1(B1),I2
 1 DOS      NOP      RX       470.     D2(X2,B2)
 1 DOS      NOPR     RR       070.     R2
 1 DOS      NR       RR       14       R1,R2
 1 DOS      O        RX       56       R1,D2(X2,B2)
 1 DOS      OC       SS       D6       D1(L,B1),D2(B2)
 1 DOS      OI       SI       96       D1(B1),I2
 1 DOS      OR       RR       16       R1,R2
 1 DOS      ORG      HLASM
 1 DOS      PACK     SS       F2       D1(L1,B1),D2(L2,B2)
 1 DOS      PRINT    HLASM
 1 DOS      PTLB     S        B20D
 1 DOS      PUNCH    HLASM
 1 DOS      RDD      SI       85       D1(B1),I2
 1 DOS      REPRO    HLASM
 1 DOS      RRB      S        B213     D2(B2)
 1 DOS      S        RX       5B       R1,D2(X2,B2)
 1 DOS      SCK      S        B204     D2(B2)
 1 DOS      SCKC     S        B206     D2(B2)
 1 DOS      SD       RX       6B       R1,D2(X2,B2)
 1 DOS      SDR      RR       2B       R1,R2
 1 DOS      SE       RX       7B       R1,D2(X2,B2)
 1 DOS      SER      RR       3B       R1,R2
 1 DOS      SETA     HLASM
 1 DOS      SETB     HLASM
 1 DOS      SETC     HLASM
 1 DOS      SH       RX       4B       R1,D2(X2,B2)
 1 DOS      SIO      S        9C00     D2(B2)
 1 DOS      SIOF     S        9C01     D2(B2)
 1 DOS      SL       RX       5F       R1,D2(X2,B2)
 1 DOS      SLA      RS       8B       R1,D2(B2)
 1 DOS      SLDA     RS       8F       R1,D2(B2)
 1 DOS      SLDL     RS       8D       R1,D2(B2)
 1 DOS      SLL      RS       89       R1,D2(B2)
 1 DOS      SLR      RR       1F       R1,R2
 1 DOS      SP       SS       FB       D1(L1,B1),D2(L2,B2)
 1 DOS      SPACE    HLASM
 1 DOS      SPKA     S        B20A     D2(B2)
 1 DOS      SPM      RR       04       R1
 1 DOS      SPT      S        B208     D2(B2)
 1 DOS      SR       RR       1B       R1,R2
 1 DOS      SRA      RS       8A       R1,D2(B2)
 1 DOS      SRDA     RS       8E       R1,D2(B2)
 1 DOS      SRDL     RS       8C       R1,D2(B2)
 1 DOS      SRL      RS       88       R1,D2(B2)
 1 DOS      SRP      SS       F0       D1(L1,B1),D2(B2),I3
 1 DOS      SSK      RR       08       R1,R2
 1 DOS      SSM      SI       80       D1(B1)
 1 DOS      ST       RX       50       R1,D2(X2,B2)
 1 DOS      START    HLASM
 1 DOS      STC      RX       42       R1,D2(X2,B2)
 1 DOS      STCK     S        B205     D2(B2)
 1 DOS      STCKC    S        B207     D2(B2)
 1 DOS      STCM     RS       BE       R1,M3,D2(B2)
 1 DOS      STCTL    RS       B6       R1,R3,D2(B2)
 1 DOS      STD      RX       60       R1,D2(X2,B2)
 1 DOS      STE      RX       70       R1,D2(X2,B2)
 1 DOS      STH      RX       40       R1,D2(X2,B2)
 1 DOS      STIDC    S        B203     D2(B2)
 1 DOS      STIDP    S        B202     D2(B2)
 1 DOS      STM      RS       90       R1,R3,D2(B2)
 1 DOS      STNSM    SI       AC       D1(B1),I2
 1 DOS      STOSM    SI       AD       D1(B1),I2
 1 DOS      STPT     S        B209     D2(B2)
 1 DOS      SU       RX       7F       R1,D2(X2,B2)
 1 DOS      SUR      RR       3F       R1,R2
 1 DOS      SVC      RR       0A       I1
 1 DOS      SW       RX       6F       R1,D2(X2,B2)
 1 DOS      SWR      RR       2F       R1,R2
 1 DOS      SXR      RR       37       R1,R2
 1 DOS      TCH      S        9F00     D2(B2)
 1 DOS      TIO      S        9D00     D2(B2)
 1 DOS      TITLE    HLASM
 1 DOS      TM       SI       91       D1(B1),I2
 1 DOS      TR       SS       DC       D1(L,B1),D2(B2)
 1 DOS      TRT      SS       DD       D1(L,B1),D2(B2)
 1 DOS      TS       SI       93       D1(B1)
 1 DOS      UNPK     SS       F3       D1(L1,B1),D2(L2,B2)
 1 DOS      USING    HLASM
